indexNCT04502056重复_由于各措施对应结局,nctid,outcome_description,participate_group_num,outcome_group_num,group_info,outcome_check,standard_outcome_check,checker_before,Time_Frame,conceptId,conceptName,domainId,outcome_id
411,NCT04385238,Number of Participants With Symptoms of Anxiety and Depression,O1:5712|O2:1182,O1:1200|O2:438,Pregnant Women|Post-partum Women,"Anxiety, Depression ","Anxiety, Depression ",['Symptom'],Time Frame: From starting to the end of ivermectin therapy (0 to the end of 5th day) ,4191716,Symptoms of depression,Condition,outcome_334
412,NCT04370834,Number of Participants With at Least 1 Point Reduction in Score on 7-category Clinical Status Ordinal Scale,O1:1|O2:0|O3:0|O4:0,O1:1,Cohort A1|Cohort A2|Cohort B1|Cohort B2,Ordinal Scale,Ordinal Scale,"['Ordinal Scale', 'Clinical Status', 'ordinal scale']",NA,4138597,Clinical status,Observation,outcome_176
413,NCT04323592,"Composite Primary End-point: Admission to ICU, Need for Invasive Mechanical Ventilation (MV), or All-cause Death by Day 28",O1:83|O2:90,O1:19|O2:40,Exposed to Methylprednisolone|Non-exposed to Methylprednisolone,Invasive Mechanical Ventilation ,Mechanical Ventilation,"['mechanical Ventilation', 'Mechanical Ventilation', 'Invasive Mechanical Ventilation', 'Death', 'ICU']",Time Frame: 28 days ,44790095,Invasive ventilation,Procedure,outcome_335
414,NCT04323592,In-hospital Death Within 28 Days,O1:83|O2:90,O1:6|O2:21,Exposed to Methylprednisolone|Non-exposed to Methylprednisolone,Hospital,Hospitalization,"['Death', 'Hospital']","Time Frame: Day 1, 3, 5, 8, 11, 15, 22, and 29 ",4061268,Death in hospital,Observation,outcome_336
415,NCT04323592,Admission to Intensive Care Unit (ICU),O1:83|O2:90,O1:15|O2:27,Exposed to Methylprednisolone|Non-exposed to Methylprednisolone,Intensive Care,Intensive Care,"['Intensive Care', 'ICU']","Time Frame: baseline, day 14 ",45877945,Admission to intensive care unit,Meas Value,outcome_337
416,NCT04323592,Endotracheal Intubation (Invasive Mechanical Ventilation),O1:83|O2:90,O1:15|O2:26,Exposed to Methylprednisolone|Non-exposed to Methylprednisolone,Invasive Mechanical Ventilation ,Mechanical Ventilation,"['mechanical Ventilation', 'Mechanical Ventilation', 'Invasive Mechanical Ventilation']",Time Frame: Day 14 ,4013354,Insertion of endotracheal tube,Procedure,outcome_338
417,NCT04323592,Change in C-reactive Protein (CRP),O1:83|O2:90,O1:-82.08|O2:-34.34,Exposed to Methylprednisolone|Non-exposed to Methylprednisolone,C-reactive Protein (CRP),CRP,"['C-reactive Protein (CRP)', 'C-reactive Protein']","Time Frame: Days 1, 3, 5, 8, 11, 15 and 29 ",4208414,C-reactive protein measurement,Measurement,outcome_110
418,NCT04323592,Number of Days Free From Mechanical Ventilation,O1:83|O2:90,O1:19.11|O2:14.34,Exposed to Methylprednisolone|Non-exposed to Methylprednisolone,mechanical Ventilation,Mechanical Ventilation,"['mechanical Ventilation', 'Mechanical Ventilation']","Time Frame: Baseline, Day 15, Day 29 ",4230167,Artificial respiration,Procedure,outcome_339
419,NCT04371419,Incidence Rate for Knowledge Gaps: Control vs. Any Intervention,O1:1525|O2:10711,O1:0.085|O2:0.065,Study Participants - Control|Study Participants - Any Intervention,Incidence Rate,Incidence Rate,[],NA,44803958,Knowledge,Observation,outcome_261
420,NCT04371419,Incidence Rate for Information-seeking Behavior: Control vs. Any Intervention,O1:1450|O2:10244,O1:0.335|O2:0.344,Study Participants - Control|Study Participants - Any Intervention,Incidence Rate,Incidence Rate,[],NA,NA,Incidence Rate,NA,outcome_262
421,NCT04371419,Incidence Rate for Knowledge Gaps by Intervention,O1:5395|O2:5316|O3:8041|O4:2670|O5:8010|O6:2701|O7:8058|O8:2653|O9:5366|O10:5345,O1:0.066|O2:0.065|O3:0.065|O4:0.068|O5:0.066|O6:0.063|O7:0.066|O8:0.063|O9:0.066|O10:0.065,Intervention 1: Racial Discordance/Concordance Between Physician and Participant-Discordant (Arm A)|Intervention 1: Racial Discordance/Concordance Between Physician and Participant-Concordant (Arm B)|Intervention 2: Video 2 Recorded by MGH Physician/Dr. Birx of the CDC - MGH Physician (Arm A)|Intervention 2: Video 2 Recorded by MGH Physician/Dr. Birx of the CDC - Dr. Birx of the CDC (Arm B)|Intervention 3: Received Acknowledgment of Discrimination - No (Arm A)|Intervention 3: Received Acknowledgment of Discrimination - Yes (Arm B)|Intervention 4: Received Acknowledgment of Economic Inequalities - No (Arm A)|Intervention 4: Received Acknowledgment of Economic Inequalities - Yes (Arm B)|Intervention 5: Received Information About Social Perception - No (Arm A)|Intervention 5: Received Information About Social Perception - Yes (Arm B),Incidence Rate,Incidence Rate,[],NA,44803958,Knowledge,Observation,outcome_261
422,NCT04371419,Incidence Rate for Information-seeking Behavior by Intervention,O1:5147|O2:5097|O3:7697|O4:2547|O5:7653|O6:2591|O7:7696|O8:2548|O9:5142|O10:5102,O1:0.336|O2:0.353|O3:0.343|O4:0.348|O5:0.346|O6:0.341|O7:0.344|O8:0.345|O9:0.345|O10:0.344,Intervention 1: Racial Discordance/Concordance Between Physician and Participant-Discordant (Arm A)|Intervention 1: Racial Discordance/Concordance Between Physician and Participant-Concordant (Arm B)|Intervention 2: Video 2 Recorded by MGH Physician/Dr. Birx of the CDC - MGH Physician (Arm A)|Intervention 2: Video 2 Recorded by MGH Physician/Dr. Birx of the CDC - Dr. Birx of the CDC (Arm B)|Intervention 3: Received Acknowledgment of Discrimination - No (Arm A)|Intervention 3: Received Acknowledgment of Discrimination - Yes (Arm B)|Intervention 4: Received Acknowledgment of Economic Inequalities - No (Arm A)|Intervention 4: Received Acknowledgment of Economic Inequalities - Yes (Arm B)|Intervention 5: Received Information About Social Perception - No (Arm A)|Intervention 5: Received Information About Social Perception - Yes (Arm B),Incidence Rate,Incidence Rate,[],NA,4092398,Attention seeking behavior,Condition,outcome_340
423,NCT04402970,Change in Arterial Blood Oxygen Content to Fraction of Inspired Oxygen Ratio (PaO2/FiO2),O1:10|O2:20|O1:10|O2:20|O1:10|O2:20|O1:10|O2:20|O1:10|O2:20|O1:8|O2:20|O1:5|O2:11,O1:10.7|O2:21.4|O1:61.1|O2:11.8|O1:23.5|O2:12.5|O1:24.1|O2:3.5|O1:37.6|O2:5|O1:55|O2:-11.2,Inhaled/Nebulized Dornase Alfa|Standard of Care|Inhaled/Nebulized Dornase Alfa|Standard of Care|Inhaled/Nebulized Dornase Alfa|Standard of Care|Inhaled/Nebulized Dornase Alfa|Standard of Care|Inhaled/Nebulized Dornase Alfa|Standard of Care|Inhaled/Nebulized Dornase Alfa|Standard of Care|Inhaled/Nebulized Dornase Alfa|Standard of Care,PaO2/FiO2,P/F Ratio,"['Oxygen', 'PaO2/FiO2']",Time Frame: 28 days after randomization ,4353936,Inspired oxygen concentration,Measurement,outcome_53
424,NCT04402970,Change in Static Lung Compliance,O1:10|O2:20|O1:10|O2:16|O1:10|O2:15|O1:8|O2:16|O1:8|O2:15|O1:5|O2:12|O1:4|O2:6,O1:3.1|O2:-0.1|O1:4|O2:-0.4|O1:6.3|O2:-5.7|O1:4|O2:-5.6|O1:7.4|O2:-4.8|O1:0.8|O2:-10.2,Inhaled/Nebulized Dornase Alfa|Standard of Care|Inhaled/Nebulized Dornase Alfa|Standard of Care|Inhaled/Nebulized Dornase Alfa|Standard of Care|Inhaled/Nebulized Dornase Alfa|Standard of Care|Inhaled/Nebulized Dornase Alfa|Standard of Care|Inhaled/Nebulized Dornase Alfa|Standard of Care|Inhaled/Nebulized Dornase Alfa|Standard of Care,Static Lung Compliance,Lung Compliance,['Static Lung Compliance'],Time Frame: Days 1 - 29. ,4090322,Static lung compliance,Measurement,outcome_341
425,NCT04402970,Duration of Mechanical Ventilation,O1:10|O2:20,O1:15.2|O2:18.2,Inhaled/Nebulized Dornase Alfa|Standard of Care,Mechanical Ventilation,Mechanical Ventilation,"['mechanical Ventilation', 'Mechanical Ventilation']",Time Frame: 29 days ,4230167,Artificial respiration,Procedure,outcome_342
426,NCT04402970,Length of ICU Stay,O1:10|O2:20,O1:16.5|O2:22.1,Inhaled/Nebulized Dornase Alfa|Standard of Care,ICU,ICU,['ICU'],Time Frame: 28 days ,764528,Post intensive care unit syndrome,Condition,outcome_343
427,NCT04402970,Length of Hospitalization,O1:10|O2:20,O1:22.5|O2:28.7,Inhaled/Nebulized Dornase Alfa|Standard of Care,Hospitalization,Hospitalization,"['Hospitalization', 'hospitalization', 'Hospital']",Time Frame: Day 1 through Day 29 ,46236995,Hospital stay duration,Observation,outcome_22
428,NCT04402970,Secondary Bacterial Infections,O1:10|O2:20,O1:30|O2:25,Inhaled/Nebulized Dornase Alfa|Standard of Care,Infect,Infect,['Infect'],Time Frame: Day 0-14 ,4131056,Secondary infection,Condition,outcome_344
429,NCT04402970,Mortality,O1:10|O2:20,O1:40|O2:45|O1:40|O2:55,Inhaled/Nebulized Dornase Alfa|Standard of Care,Mortality,Death ,['Mortality'],Time Frame: Up to and including day 28 ,4249566,Mortality rate,Observation,outcome_20
430,NCT04328467,COVID-19-free Survival,O1:494|O2:495|O3:494,O1:464|O2:468|O3:454,Intervention Once Weekly|Intervention Twice Weekly|Control Group,Survival,Survival,[],NA,37311061,COVID-19,Condition,outcome_345
431,NCT04328467,Number of Confirmed SARS-CoV-2 Detection,O1:494|O2:495|O3:494,O1:29|O2:29|O3:39,Intervention Once Weekly|Intervention Twice Weekly|Control Group,Detection,Detection ,['Detection'],NA,320651,Severe acute respiratory syndrome,Condition,outcome_346
432,NCT04328467,Incidence of Possible COVID-19 Symptoms,O1:494|O2:495|O3:494,O1:29|O2:28|O3:38,Intervention Once Weekly|Intervention Twice Weekly|Control Group,Symptom,Symptom,['Symptom'],NA,1333343,COVID-19 Related Symptoms,Observation,outcome_201
433,NCT04328467,Incidence of All-cause Study Medicine Discontinuation,O1:494|O2:495|O3:494,O1:119|O2:158|O3:133,Intervention Once Weekly|Intervention Twice Weekly|Control Group,Medicine Discontinuation,Medicine Discontinuation,['Medicine Discontinuation'],NA,45882884,Medicine,Meas Value,outcome_347
434,NCT04328467,Ordinal Scale of COVID-19 Disease Maximum Severity if COVID-19 Diagnosed at Study End,O1:0|O2:1|O3:1,O2:1|O3:1,Intervention Once Weekly|Intervention Twice Weekly|Control Group,Ordinal Scale,Ordinal Scale,"['Ordinal Scale', 'ordinal scale']",NA,703443,COVID-19 severity scale,Measurement,outcome_348
435,NCT04328467,Incidence of Hospitalization for COVID-19 or Death,O1:494|O2:495|O3:494,O1:3|O2:8|O3:9,Intervention Once Weekly|Intervention Twice Weekly|Control Group,Hospitalization/Death,Hospitalization/Death,"['Hospitalization', 'Death', 'hospitalization', 'Hospital']",NA,36033654,COVID-19 Immunization note,Observation,outcome_349
436,NCT04328467,Incidence of Possible Study Medication-related Side Effects,O1:494|O2:495|O3:494,O1:148|O2:168|O3:100,Intervention Once Weekly|Intervention Twice Weekly|Control Group,Effect,Effect,['Effect'],NA,4288386,Assessment of adverse drug reactions,Procedure,outcome_350
437,NCT04728594,Number of Employees Who Scheduled Vaccination Appointments After 3 Days,O1:3178|O2:3198|O3:3190,O1:101|O2:207|O3:220,Delayed Contact|Social Proof|Reframing Side Effects and Adverse Reactions,Employees,Employees,[],NA,4144375,Active immunization,Procedure,outcome_351
438,NCT04728594,Number of Employees Who Scheduled Vaccination Appointments After 3 Days,O1:3198|O2:3190,O1:1481|O2:1398,Social Proof|Reframing Side Effects and Adverse Reactions,Employees,Employees,[],NA,4144375,Active immunization,Procedure,outcome_351
439,NCT04728594,Number of Employees Who Scheduled Vaccination Appointments After 3 Days,O1:3198|O2:3190,O1:562|O2:382,Social Proof|Reframing Side Effects and Adverse Reactions,Employees,Employees,[],NA,4144375,Active immunization,Procedure,outcome_351
440,NCT04728594,Number of Employees Who Opened Emails After 3 Days,NA,NA,NA,Employees,Employees,[],NA,4076484,Employee,Observation,outcome_352
441,NCT04728594,Number of Employees Who Clicked Scheduling Links After 3 Days,NA,NA,NA,Employees,Employees,[],NA,4076484,Employee,Observation,outcome_352
442,NCT04425863,Patients Who Improved Their Condition or Did Not Worsen it,O1:135|O2:12|O3:20,O1:135|O2:12|O3:19,Mild Cases|Moderate Cases|Severe Cases,Improved,Improvement,['Improved'],Time Frame: 28 day post enrollment ,45883510,Condition improved,Meas Value,outcome_353
443,NCT04425863,ICU-treated Patients After 2-week Treatment,O1:135|O2:12|O3:20,O1:0|O2:0|O3:2,Mild Cases|Moderate Cases|Severe Cases,ICU,ICU,['ICU'],Time Frame: 10 days ,4148981|40770080,Intensive care unit|Treatment duration,Observation|Observation,outcome_354
444,NCT04425863,Mortality,O1:135|O2:12|O3:20,O1:0|O2:0|O3:1,Mild Cases|Moderate Cases|Severe Cases,Mortality,Death ,['Mortality'],Time Frame: Up to and including day 28 ,4249566,Mortality rate,Observation,outcome_20
445,NCT04425863,Mortality,NA,NA,NA,Mortality,Death ,['Mortality'],Time Frame: Up to and including day 28 ,4249566,Mortality rate,Observation,outcome_20
446,NCT04425863,Mortality,NA,NA,NA,Mortality,Death ,['Mortality'],Time Frame: Up to and including day 28 ,4249566,Mortality rate,Observation,outcome_20
447,NCT04425863,Patients Needing Drug Dose Adjustment,O1:135|O2:12|O3:20,O1:0|O2:0|O3:0,Mild Cases|Moderate Cases|Severe Cases,Drug Dose Adjustment ,Drug Dose Adjustment ,['Drug Dose Adjustment'],Time Frame: Day 1 through Day 29 ,4259634,Adjustment,Observation,outcome_355
448,NCT04425863,Adverse Events,O1:135|O2:12|O3:20,O1:0|O2:0|O3:1,Mild Cases|Moderate Cases|Severe Cases,Adverse Events,Adverse,"['Adverse Events', 'Adverse', 'Adverse Event']",Time Frame: At the first day of the study ,45884383,Adverse event,Meas Value,outcome_12
449,NCT04542226,Clinical Status of the Patient (According to 7-point Ordinal Scale),O1:81,O1:0|O1:0|O1:22|O1:24|O1:24|O1:11|O1:0|O1:3|O1:27|O1:37|O1:9|O1:3|O1:2|O1:0,Adult Patients Hospitalized With COVID-19,ordinal scale,Ordinal Scale,"['Ordinal Scale', 'Clinical Status', 'ordinal scale']",Time Frame: Assessed on study day 15 ,4138597,Clinical status,Observation,outcome_356
450,NCT04542226,Time to Improvement in Clinical Status of the Patient (According to Ordinal Scale) by 1 Point for Each OS Score,O1:80,O1:13.77,Adult Patients Hospitalized With COVID-19,"ordinal scale, Improvement",Ordinal Scale,"['Ordinal Scale', 'improvement', 'Improvement', 'Clinical Status', 'ordinal scale']",Time Frame: assessed on study day 8 ,4138597,Clinical status,Observation,outcome_357
451,NCT04542226,Clinical Status of the Patient (According to National Early Warning Score (NEWS Scale)),O1:80,O1:8.85,Adult Patients Hospitalized With COVID-19,Clinical Status ,Clinical Status ,['Clinical Status'],Time Frame: Baseline ,44813819,Assessment using Royal College of Physicians NEWS (national early warning score),Procedure,outcome_358
452,NCT04542226,Number of Patients Requiring Supplementary Oxygen,O1:81,O1:59|O1:22|O1:58|O1:23|O1:56|O1:25|O1:47|O1:34|O1:31|O1:50|O1:14|O1:67|O1:1|O1:80,Adult Patients Hospitalized With COVID-19,Oxygen,Oxygen,['Oxygen'],Time Frame: 28 days after randomization ,36308581,Supplemental oxygen,Meas Value,outcome_359
453,NCT04542226,Hospitalisation Duration,O1:80,O1:19.13,Adult Patients Hospitalized With COVID-19,Hospital,Hospitalization,['Hospital'],Time Frame: Day 15 ,46236995,Hospital stay duration,Observation,outcome_360
454,NCT04542226,Mortality,O1:81,O1:81|O1:0,Adult Patients Hospitalized With COVID-19,Mortality,Death ,['Mortality'],Time Frame: Up to and including day 7 ,4249566,Mortality rate,Observation,outcome_361
455,NCT04542226,The Number of Participants With Serious Adverse Events,O1:81,O1:1,Adult Patients Hospitalized With COVID-19,Adverse Events,Adverse,"['Adverse Events', 'Adverse', 'Adverse Event']",Time Frame: At the first day of the study ,45884383,Adverse event,Meas Value,outcome_12
456,NCT04542226,The Number of Participants With Adverse Events,O1:81,O1:7,Adult Patients Hospitalized With COVID-19,Adverse Events,Adverse,"['Adverse Events', 'Adverse', 'Adverse Event']",Time Frame: At the first day of the study ,45884383,Adverse event,Meas Value,outcome_12
457,NCT04542226,Number of Participants With Discontinuation of Drug Administration,O1:81,O1:1|O1:2,Adult Patients Hospitalized With COVID-19,Discontinuation of Drug Administration ,Discontinued,['Discontinuation of Drug Administration'],Time Frame: Day 1 through Day 10 ,4082382,Management of drug regimen,Procedure,outcome_362
458,NCT04490239,"Number of Participants With Normal or Abnormal Activated Partial Thromboplastin Time (aPTT), Acute Phase Day 1",O1:6,O1:6|O1:0,Experimental Arm,Activated Partial Thromboplastin Time (aPTT),aPTT,['Activated Partial Thromboplastin Time (aPTT)'],Time Frame: Treatment period of 7 days (Day 1 to Day 8) ,4254482,APTT - reference,Measurement,outcome_363
459,NCT04490239,"Number of Participants With Normal or Abnormal Activated Partial Thromboplastin Time (aPTT), Acute Phase Day 2",O1:6,O1:6|O1:0,Experimental Arm,Activated Partial Thromboplastin Time (aPTT),aPTT,['Activated Partial Thromboplastin Time (aPTT)'],Time Frame: Treatment period of 7 days (Day 1 to Day 8) ,4254482,APTT - reference,Measurement,outcome_363
460,NCT04490239,"Number of Participants With Normal or Abnormal Activated Partial Thromboplastin Time (aPTT), Chronic Phase Day 14",O1:6,O1:6|O1:0,Experimental Arm,Activated Partial Thromboplastin Time (aPTT),aPTT,['Activated Partial Thromboplastin Time (aPTT)'],Time Frame: Treatment period of 7 days (Day 1 to Day 8) ,4254482,APTT - reference,Measurement,outcome_363
461,NCT04490239,"Number of Participants With Normal or Abnormal Activated Partial Thromboplastin Time (aPTT), Chronic Phase Day 15",O1:6,O1:6|O1:0,Experimental Arm,Activated Partial Thromboplastin Time (aPTT),aPTT,['Activated Partial Thromboplastin Time (aPTT)'],"Time Frame: End-of treatment, Day 7 or 8 ",4254482,APTT - reference,Measurement,outcome_364
462,NCT04490239,Percent Change in Platelet Count From Pre-dose Baseline,O1:6,O1:2.2,Experimental Arm,Platelet,Platelet,['Platelet'],"Time Frame: From date of first admission to intensive care unit until discharge/transfer out of the ICU or date of death from any cause, whichever came first, assessed up to 6 months ",37397896,Percentage reticulated platelet count,Measurement,outcome_365
463,NCT04490239,"Number of Incidents of Epistaxis, Acute Phase",O1:6,O1:0,Experimental Arm,Incidents of Epistaxis,Incidents of Epistaxis,['Incidents of Epistaxis'],Time Frame: Day 12 ,4096682,Bleeding from nose,Condition,outcome_366
464,NCT04490239,"Number of Incidents of Epistaxis, Chronic Phase",O1:6,O1:1,Experimental Arm,Incidents of Epistaxis,Incidents of Epistaxis,['Incidents of Epistaxis'],NA,4262407,Control of hemorrhage of nose,Procedure,outcome_367
465,NCT04490239,"Number of Participants With Normal or Abnormal Platelet Counts, Chronic Phase Day 14",O1:6,O1:6|O1:0,Experimental Arm,Platelet,Platelet,['Platelet'],"Time Frame: From date of hospital admission until discharge from acute care hospital or date of death from any cause, whichever came first, assessed up to 6 months ",4306266,Platelet count abnormal,Condition,outcome_368
466,NCT04490239,"Other Adverse Effects, Acute Phase",O1:6,O1:2,Experimental Arm,Effect,Effect,"['Effect', 'Adverse']",Time Frame: Day 1 through Day 29 ,4105886,Adverse reaction,Condition,outcome_369
467,NCT04490239,"Other Adverse Effects, Chronic Phase",O1:6,O1:5,Experimental Arm,Effect,Effect,"['Effect', 'Adverse']",Time Frame: Day 1 through Day 29 ,4105886,Adverse reaction,Condition,outcome_369
468,NCT04327388,Time to Improvement in Clinical Status of Participants (Using 7-point Ordinal Scale Score) by at Least 2 Points,O1:159|O2:173|O3:84,O1:10.0|O2:10.0|O3:12.0,Sarilumab 200 mg|Sarilumab 400 mg|Placebo,improvement,Improvement,"['Ordinal Scale', 'improvement', 'Improvement', 'Clinical Status', 'scale score', 'ordinal scale']",Time Frame: Day 14 ,4138597,Clinical status,Observation,outcome_218
469,NCT04327388,Percentage of Participants Who Were Alive at Day 29,O1:159|O2:173|O3:84,O1:89.9|O2:91.9|O3:91.7,Sarilumab 200 mg|Sarilumab 400 mg|Placebo,Alive,Alive,['Alive'],Time Frame: From starting to the end of ivermectin therapy (0 to the end of 5th day) ,44804077,Survival rate,Observation,outcome_370
470,NCT04327388,"Percentage of Participants With Improvement in Clinical Status (According to 7-point Ordinal Scale Score) by at Least 1 Point From Baseline at Days 4, 7, 15, 21, and 29",O1:159|O2:173|O3:84,O1:25.2|O2:25.4|O3:23.8|O1:51.6|O2:48.6|O3:42.9|O1:74.8|O2:76.9|O3:71.4|O1:80.5|O2:81.5|O3:85.7|O1:84.9|O2:84.4|O3:88.1,Sarilumab 200 mg|Sarilumab 400 mg|Placebo,improvement,Improvement,"['Ordinal Scale', 'improvement', 'Improvement', 'Clinical Status', 'scale score', 'ordinal scale']",Time Frame: 4 weeks ,4138597,Clinical status,Observation,outcome_371
471,NCT04327388,"Change From Baseline at Days 4, 7, 15, 21, 29 in 7-point Ordinal Scale Score",O1:159|O2:173|O3:84|O1:159|O2:173|O3:84|O1:159|O2:173|O3:84|O1:158|O2:171|O3:83|O1:155|O2:169|O3:83|O1:156|O2:170|O3:83,O1:0.1|O2:0.1|O3:0.2|O1:0.7|O2:0.7|O3:0.7|O1:1.9|O2:2.0|O3:1.7|O1:2.3|O2:2.3|O3:2.5|O1:2.5|O2:2.5|O3:2.7,Sarilumab 200 mg|Sarilumab 400 mg|Placebo|Sarilumab 200 mg|Sarilumab 400 mg|Placebo|Sarilumab 200 mg|Sarilumab 400 mg|Placebo|Sarilumab 200 mg|Sarilumab 400 mg|Placebo|Sarilumab 200 mg|Sarilumab 400 mg|Placebo|Sarilumab 200 mg|Sarilumab 400 mg|Placebo,ordinal scale,Ordinal Scale,"['Ordinal Scale', 'scale score', 'ordinal scale']",Time Frame: 30 days ,4062806,Scale,Device,outcome_372
472,NCT04327388,Time to Resolution of Fever,O1:159|O2:173|O3:84,O1:8.0|O2:9.0|O3:7.0,Sarilumab 200 mg|Sarilumab 400 mg|Placebo,Fever ,Fever ,['Fever'],"Time Frame: Days 1, 3, 5, 8, 11, 15 and 29 ",21495022,Fever duration,Observation,outcome_65
473,NCT04327388,Time to Resolution of Fever and Improvement in Oxygenation,O1:159|O2:173|O3:84,O1:9.0|O2:10.0|O3:8.0,Sarilumab 200 mg|Sarilumab 400 mg|Placebo,Fever ,Fever ,"['Oxygen', 'improvement', 'Improvement', 'Fever']","Time Frame: Days 1, 3, 5, 8, 11, 15 and 29 ",21495022,Fever duration,Observation,outcome_65
474,NCT04327388,Number of Days With Fever,O1:143|O2:159|O3:77,O1:1.2|O2:1.3|O3:1.8,Sarilumab 200 mg|Sarilumab 400 mg|Placebo,Fever ,Fever ,['Fever'],"Time Frame: Days 1, 3, 5, 8, 11, 15 and 29 ",21495022,Fever duration,Observation,outcome_65
475,NCT04327388,"Percentage of Participants in Each National Early Warning Score 2 (NEWS2) Clinical Risk Category at Baseline and at Days 4, 7, 15, 21, and 29",O1:159|O2:169|O3:84|O1:146|O2:163|O3:79|O1:146|O2:163|O3:79|O1:146|O2:163|O3:79|O1:146|O2:163|O3:79|O1:159|O2:169|O3:84|O1:159|O2:169|O3:84|O1:159|O2:169|O3:84|O1:159|O2:169|O3:84|O1:135|O2:143|O3:74|O1:135|O2:143|O3:74|O1:135|O2:143|O3:74|O1:135|O2:143|O3:74|O1:61|O2:67|O3:36|O1:61|O2:67|O3:36|O1:61|O2:67|O3:36|O1:61|O2:67|O3:36|O1:29|O2:38|O3:12|O1:29|O2:38|O3:12|O1:29|O2:38|O3:12|O1:29|O2:38|O3:12|O1:14|O2:18|O3:5|O1:14|O2:18|O3:5|O1:14|O2:18|O3:5|O1:14|O2:18|O3:5,O1:28.8|O2:22.1|O3:34.2|O1:0|O2:0|O3:0|O1:34.2|O2:37.4|O3:27.8|O1:37.0|O2:40.5|O3:38.0|O1:52.8|O2:56.2|O3:40.5|O1:0.6|O2:1.2|O3:0|O1:19.5|O2:16.6|O3:28.6|O1:27.0|O2:26.0|O3:31.0|O1:57.0|O2:60.8|O3:51.4|O1:0|O2:2.1|O3:0|O1:20.0|O2:10.5|O3:20.3|O1:23.0|O2:26.6|O3:28.4|O1:52.5|O2:52.2|O3:61.1|O1:0|O2:1.5|O3:2.8|O1:21.3|O2:19.4|O3:13.9|O1:26.2|O2:26.9|O3:22.2|O1:44.8|O2:50.0|O3:66.7|O1:13.8|O2:0|O3:0|O1:24.1|O2:21.1|O3:8.3|O1:17.2|O2:28.9|O3:25.0|O1:57.1|O2:27.8|O3:60.0|O1:0|O2:0|O3:0|O1:14.3|O2:27.8|O3:20.0|O1:28.6|O2:44.4|O3:20.0,Sarilumab 200 mg|Sarilumab 400 mg|Placebo|Sarilumab 200 mg|Sarilumab 400 mg|Placebo|Sarilumab 200 mg|Sarilumab 400 mg|Placebo|Sarilumab 200 mg|Sarilumab 400 mg|Placebo|Sarilumab 200 mg|Sarilumab 400 mg|Placebo|Sarilumab 200 mg|Sarilumab 400 mg|Placebo|Sarilumab 200 mg|Sarilumab 400 mg|Placebo|Sarilumab 200 mg|Sarilumab 400 mg|Placebo|Sarilumab 200 mg|Sarilumab 400 mg|Placebo|Sarilumab 200 mg|Sarilumab 400 mg|Placebo|Sarilumab 200 mg|Sarilumab 400 mg|Placebo|Sarilumab 200 mg|Sarilumab 400 mg|Placebo|Sarilumab 200 mg|Sarilumab 400 mg|Placebo|Sarilumab 200 mg|Sarilumab 400 mg|Placebo|Sarilumab 200 mg|Sarilumab 400 mg|Placebo|Sarilumab 200 mg|Sarilumab 400 mg|Placebo|Sarilumab 200 mg|Sarilumab 400 mg|Placebo|Sarilumab 200 mg|Sarilumab 400 mg|Placebo|Sarilumab 200 mg|Sarilumab 400 mg|Placebo|Sarilumab 200 mg|Sarilumab 400 mg|Placebo|Sarilumab 200 mg|Sarilumab 400 mg|Placebo|Sarilumab 200 mg|Sarilumab 400 mg|Placebo|Sarilumab 200 mg|Sarilumab 400 mg|Placebo|Sarilumab 200 mg|Sarilumab 400 mg|Placebo|Sarilumab 200 mg|Sarilumab 400 mg|Placebo,Clinical Risk,Clinical Risk,"['Clinical Risk', 'National Early Warning Score 2']",Time Frame: Baseline ,37208353,Royal College of Physicians NEWS2 (National Early Warning Score 2) total score,Measurement,outcome_373
476,NCT04327388,Time to National Early Warning Score of Less Than (<) 2 and Maintained for 24 Hours,O1:159|O2:173|O3:84,O1:9.0|O2:9.0|O3:11.0,Sarilumab 200 mg|Sarilumab 400 mg|Placebo,Time to National Early Warning Score,Time to National Early Warning Score,['Time to National Early Warning Score'],Time Frame: 14 days ,44808684,Royal College of Physicians NEWS (national early warning score),Measurement,outcome_374
477,NCT04327388,"Change From Baseline at Days 4, 7, 15, 21, and 29 in National Early Warning Score 2",O1:146|O2:159|O3:79|O1:146|O2:159|O3:79|O1:122|O2:133|O3:69|O1:55|O2:62|O3:33|O1:26|O2:34|O3:12|O1:13|O2:17|O3:5,O1:-1.07|O2:-1.25|O3:-0.36|O1:-1.63|O2:-1.47|O3:-0.83|O1:-2.10|O2:-1.83|O3:-2.36|O1:-3.02|O2:-2.24|O3:-2.96|O1:-2.57|O2:-1.27|O3:-3.64,Sarilumab 200 mg|Sarilumab 400 mg|Placebo|Sarilumab 200 mg|Sarilumab 400 mg|Placebo|Sarilumab 200 mg|Sarilumab 400 mg|Placebo|Sarilumab 200 mg|Sarilumab 400 mg|Placebo|Sarilumab 200 mg|Sarilumab 400 mg|Placebo|Sarilumab 200 mg|Sarilumab 400 mg|Placebo,National Early Warning Score 2 ,National Early Warning Score 2 ,['National Early Warning Score 2'],Time Frame: Up to 28 days ,44808684,Royal College of Physicians NEWS (national early warning score),Measurement,outcome_375
